Species,Treatment,Concentration,Day,FlaskID,ReadingID,RFU
T_pseudonana,Al,0.1,0,1,1,118.12
T_pseudonana,Al,0.1,0,1,2,116.27
T_pseudonana,Al,0.1,0,1,3,114.45
T_pseudonana,Al,0.1,0,2,1,111.77
T_pseudonana,Al,0.1,0,2,2,107.82
T_pseudonana,Al,0.1,0,2,3,104.41
T_pseudonana,Al,0.1,0,3,1,122.83
T_pseudonana,Al,0.1,0,3,2,117.17
T_pseudonana,Al,0.1,0,3,3,113.84
T_pseudonana,Al,1,0,1,1,124.08
T_pseudonana,Al,1,0,1,2,118.23
T_pseudonana,Al,1,0,1,3,115.05
T_pseudonana,Al,1,0,2,1,139.13
T_pseudonana,Al,1,0,2,2,132.78
T_pseudonana,Al,1,0,2,3,131.67
T_pseudonana,Al,1,0,3,1,116.52
T_pseudonana,Al,1,0,3,2,110.7
T_pseudonana,Al,1,0,3,3,106.98
T_pseudonana,Al,0,1,1,1,489.56
T_pseudonana,Al,0,1,1,2,473.31
T_pseudonana,Al,0,1,1,3,458.2
T_pseudonana,Al,0,1,2,1,465.69
T_pseudonana,Al,0,1,2,2,452.21
T_pseudonana,Al,0,1,2,3,442.05
T_pseudonana,Al,0,1,3,1,506.05
T_pseudonana,Al,0,1,3,2,490.53
T_pseudonana,Al,0,1,3,3,472.08
T_pseudonana,Al,0.1,1,1,1,538.96
T_pseudonana,Al,0.1,1,1,2,528.13
T_pseudonana,Al,0.1,1,1,3,512.62
T_pseudonana,Al,0.1,1,2,1,533.24
T_pseudonana,Al,0.1,1,2,2,513.96
T_pseudonana,Al,0.1,1,2,3,494.94
T_pseudonana,Al,0.1,1,3,1,534.85
T_pseudonana,Al,0.1,1,3,2,529.3
T_pseudonana,Al,0.1,1,3,3,516.15
T_pseudonana,Al,1,1,1,1,139.94
T_pseudonana,Al,1,1,1,2,132.72
T_pseudonana,Al,1,1,1,3,130.05
T_pseudonana,Al,1,1,2,1,132.83
T_pseudonana,Al,1,1,2,2,125.41
T_pseudonana,Al,1,1,2,3,121.22
T_pseudonana,Al,1,1,3,1,139.82
T_pseudonana,Al,1,1,3,2,131.7
